Узлы,Max(eps)
10,0.0006089805630595801
12,0.00010117037911516746
14,9.492193250160152e-05
16,0.00019404091277930302
18,0.00010542699731130867
20,0.00028381124496112964
22,0.0005121278434254695
24,0.0002075110503085842
26,0.0004036149803960942
28,0.0003760645642318927
30,0.0005861908772656355
32,0.0001905144897470512
34,0.0003820774115153025
36,0.00019042753538156543
38,0.0005796640842753442
40,0.0007012818546195954
42,0.0005034148372998759
44,0.000774394853096716
46,0.0006734777202784814
48,0.0008546702065905798
50,0.00019290163369134472
52,0.00042521488189106726
54,0.00013031760489301547
56,0.0003545606019782488
58,0.000974492196157084
60,0.000751026214782291
62,0.0008762431194196951
64,0.0005898885939433773
66,0.00047448921643022945
68,0.00039702423453724656
70,0.00021659796764872397
72,0.001646146527342851
74,0.0005222368899940877
76,0.0010391495716688404
78,0.0005920827778649329
