xi,erf(xi),Значения по квадратуре,Погрешность вычислений,N - число разбиений
0.0,0.0,0.0,0.0,2
0.16666666666666666,0.16663493568543888,0.16647220912571423,0.00016272655972465744,1024
0.3333333333333333,0.33231937390584115,0.33215710818471883,0.0001622657211223233,2048
0.5,0.49234442136805107,0.4922240257788922,0.00012039558915888371,4096
0.6666666666666666,0.6348990651890006,0.6347441198132597,0.00015494537574090028,4096
0.8333333333333333,0.7394889945879611,0.739308442768787,0.0001805518191740907,4096
1.0,0.7798945818488318,0.7797030265207525,0.00019155532807924036,4096
1.1666666666666665,0.7350328345609309,0.7348543063571323,0.00017852820379860024,4096
1.3333333333333333,0.6081160796893851,0.6079667920679099,0.00014928762147514707,4096
1.5,0.4452599339184146,0.4451525556972136,0.00010737822120099327,4096
