Точки zi. в которых вычисляется производная,erf'(zi)=...,L'n(zi),Погрешность интерполяции ...
0.0,1.0,0.9994910204591939,0.0005089795408060871
0.05172413793103448,0.9999911695636626,1.0000688854159054,7.771585224281008e-05
0.10344827586206896,0.9998587161376439,0.999937862721612,7.914658396812602e-05
0.15517241379310345,0.9992848188675882,0.9992625422044737,2.22766631144955e-05
0.20689655172413793,0.9977402565572504,0.9976737092076489,6.65473496015423e-05
0.25862068965517243,0.9944860439159385,0.9944415031010991,4.454081483939998e-05
0.3103448275862069,0.9885775495398713,0.9885809374104749,3.3878706036105655e-06
0.3620689655172414,0.9788729054901473,0.9789119787310901,3.907324094287734e-05
0.41379310344827586,0.9640479934858465,0.9640934332554052,4.5439769558730525e-05
0.46551724137931033,0.9426207067607698,0.942646941403151,2.6234642381162132e-05
0.5172413793103449,0.912987493886586,0.9129844327036826,3.0611829033855287e-06
0.5689655172413793,0.8734753282890498,0.8734494447408664,2.5883548183447402e-05
0.6206896551724138,0.8224121337473319,0.8223797616311761,3.237211615580993e-05
0.6724137931034483,0.758218234604242,0.7581958791664959,2.2355437746091056e-05
0.7241379310344828,0.6795204812921657,0.6795168554134872,3.625878678525929e-06
0.7758620689655172,0.5852892170087339,0.5853021572220821,1.2940213348189289e-05
0.8275862068965517,0.4749961032871739,0.475015164756153,1.90614689791202e-05
0.8793103448275862,0.34878794899860355,0.3488010478200923,1.3098821488755075e-05
0.9310344827586207,0.20766809013469806,0.20766877941548012,6.892807820624292e-07
0.9827586206896551,0.05367264449018626,0.053664103622708584,8.540867477674352e-06
1.0344827586206897,-0.1099756518827898,-0.1099826734371039,7.02155431410445e-06
1.0862068965517242,-0.2787579285506709,-0.2787531491438587,4.779406812205345e-06
1.1379310344827587,-0.4468198871120277,-0.4468035743474416,1.6312764586079442e-05
1.1896551724137931,-0.6070312146459179,-0.6070188640267137,1.2350619204237745e-05
1.2413793103448276,-0.7511723561409347,-0.751185793240849,1.3437099914304085e-05
1.293103448275862,-0.8702739297244424,-0.8703162513148238,4.232159038142225e-05
1.3448275862068966,-0.9551260420736186,-0.9551543755401027,2.8333466484120606e-05
1.396551724137931,-0.9969611403417374,-0.9969043340112329,5.680633050453299e-05
1.4482758620689655,-0.988294327681915,-0.988218475558238,7.585212367700045e-05
1.5,-0.9238795325112868,-0.9244885130743449,0.0006089805630580258
