xi,erf(xi),Значения по квадратуре,Погрешность вычислений,N - число разбиений
0.0,0.0,0.0,0.0,2
0.16666666666666666,0.16663493568543888,0.16658735179848816,4.758388695072502e-05,2
0.3333333333333333,0.33231937390584115,0.3322850788667491,3.4295039092080426e-05,8
0.5,0.49234442136805107,0.49228858774062934,5.5833627421730814e-05,16
0.6666666666666666,0.6348990651890006,0.6348472379131717,5.182727582897506e-05,32
0.8333333333333333,0.7394889945879611,0.7394551096162242,3.388497173695271e-05,64
1.0,0.7798945818488318,0.779827436598132,6.714525069972943e-05,64
1.1666666666666665,0.7350328345609309,0.7349453547357139,8.747982521706277e-05,64
1.3333333333333333,0.6081160796893851,0.6080616876897533,5.439199963175323e-05,64
1.5,0.4452599339184146,0.44534636800715316,8.643408873854064e-05,64
