xi,erf(xi),ni(eps)
0.0,0.0,0
0.16666666666666666,0.16663493568543888,1
0.3333333333333333,0.33231937390584115,2
0.5,0.49234442136805107,2
0.6666666666666666,0.6348990651890006,3
0.8333333333333333,0.7394889945879611,4
1.0,0.7798945818488318,4
1.1666666666666665,0.7350328345609309,5
1.3333333333333333,0.6081160796893851,6
1.5,0.4452599339184146,7
